ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat,day_of_week
2020-06-26,1110.1171915002255,1045.342424976966,1156.3121382467764,1068.341255179142,1153.1064990259017,-8.283088814311467,-8.283088814311467,-8.283088814311467,2.8517592821134574,2.8517592821134574,2.8517592821134574,-11.134848096424923,-11.134848096424923,-11.134848096424923,0.0,0.0,0.0,1101.834102685914,Friday
2020-06-29,1113.1729852637832,1048.648544451321,1157.7541813973914,1070.2381519405276,1157.5066112439822,-13.074433325078422,-13.074433325078422,-13.074433325078422,0.5098746638832093,0.5098746638832093,0.5098746638832093,-13.584307988961632,-13.584307988961632,-13.584307988961632,0.0,0.0,0.0,1100.0985519387048,Monday
2020-06-30,1114.1915831849692,1049.7920646129749,1158.0059426365754,1070.9384457265915,1158.9659730756812,-11.99591493510123,-11.99591493510123,-11.99591493510123,2.547495504474015,2.547495504474015,2.547495504474015,-14.543410439575243,-14.543410439575243,-14.543410439575243,0.0,0.0,0.0,1102.195668249868,Tuesday
2020-07-01,1115.210181106155,1049.123721985338,1156.7484285314974,1071.6387395126553,1160.42533490738,-12.678588298005005,-12.678588298005005,-12.678588298005005,2.9108501371675732,2.9108501371675732,2.9108501371675732,-15.589438435172578,-15.589438435172578,-15.589438435172578,0.0,0.0,0.0,1102.53159280815,Wednesday
2020-07-02,1116.2287790273408,1041.8897364951147,1155.1246470681074,1072.339033298719,1161.8846967390782,-14.805851063027683,-14.805851063027683,-14.805851063027683,1.9209617238277947,1.9209617238277947,1.9209617238277947,-16.72681278685548,-16.72681278685548,-16.72681278685548,0.0,0.0,0.0,1101.4229279643132,Thursday
2020-07-03,1117.2473769485266,1047.1843025379778,1158.3996293778232,1073.039327084783,1163.2107837715466,-15.104537382490022,-15.104537382490022,-15.104537382490022,2.8517592821120923,2.8517592821120923,2.8517592821120923,-17.956296664602114,-17.956296664602114,-17.956296664602114,0.0,0.0,0.0,1102.1428395660366,Friday
2020-07-06,1120.3031707120845,1042.1842343205976,1155.4205996824353,1075.13896579259,1167.0973993775312,-21.638513639149878,-21.638513639149878,-21.638513639149878,0.5098746638650273,0.5098746638650273,0.5098746638650273,-22.148388303014904,-22.148388303014904,-22.148388303014904,0.0,0.0,0.0,1098.6646570729347,Monday
2020-07-07,1121.3217686332703,1043.3669010487108,1161.8495071952257,1075.6309122272,1168.4459186077956,-21.131333733372493,-21.131333733372493,-21.131333733372493,2.5474955044720584,2.5474955044720584,2.5474955044720584,-23.678829237844553,-23.678829237844553,-23.678829237844553,0.0,0.0,0.0,1100.1904348998978,Tuesday
2020-07-08,1122.3403665544563,1042.8687376901921,1156.8358671209974,1076.1228586618101,1169.7944378380603,-22.33903831606496,-22.33903831606496,-22.33903831606496,2.910850137163921,2.910850137163921,2.910850137163921,-25.249888453228884,-25.249888453228884,-25.249888453228884,0.0,0.0,0.0,1100.0013282383914,Wednesday
2020-07-09,1123.358964475642,1037.5790503444991,1154.06294004969,1076.7349597863272,1171.1259890177064,-24.920655187190437,-24.920655187190437,-24.920655187190437,1.9209617238295515,1.9209617238295515,1.9209617238295515,-26.84161691101999,-26.84161691101999,-26.84161691101999,0.0,0.0,0.0,1098.4383092884516,Thursday
2020-07-10,1124.377562396828,1040.9450818764221,1162.8773070930026,1077.4244797385804,1172.701543403719,-25.580022940570387,-25.580022940570387,-25.580022940570387,2.8517592821079734,2.8517592821079734,2.8517592821079734,-28.43178222267836,-28.43178222267836,-28.43178222267836,0.0,0.0,0.0,1098.7975394562575,Friday
2020-07-13,1127.4333561603855,1034.8411956211569,1152.0939769598046,1079.5032549128862,1177.5749230805732,-32.43872673465887,-32.43872673465887,-32.43872673465887,0.5098746638713433,0.5098746638713433,0.5098746638713433,-32.948601398530215,-32.948601398530215,-32.948601398530215,0.0,0.0,0.0,1094.9946294257265,Monday
2020-07-14,1128.4519540815716,1037.908936598543,1155.72025400701,1080.1560527342504,1179.199382972858,-31.737945748374575,-31.737945748374575,-31.737945748374575,2.547495504477081,2.547495504477081,2.547495504477081,-34.285441252851655,-34.285441252851655,-34.285441252851655,0.0,0.0,0.0,1096.714008333197,Tuesday
2020-07-15,1129.4705520027574,1034.9889345927907,1157.8752308878977,1080.8695202792437,1180.823842865143,-32.5859537876554,-32.5859537876554,-32.5859537876554,2.9108501371646405,2.9108501371646405,2.9108501371646405,-35.49680392482004,-35.49680392482004,-35.49680392482004,0.0,0.0,0.0,1096.884598215102,Wednesday
