Ações por Índice
Dados de 5 a 8 de 2023
Empresa;Código;Índices dos quais participa
DEVON ENERGY;DRN;D1VN34;BDRX;
DEXCO;ON   NM;DXCO3;AGFS,IBOV,IBRA,IBXX,ICO2,IGCT,IGCX,IGNM,IMAT,INDX,ISEE,ITAG,SMLL;
DEXXOS PAR;ON   N1;DEXP3;IGCX;
DEXXOS PAR;PN   N1;DEXP4;IGCX;
DIMED;ON   NM;PNVL3;IBRA,ICON,IGCT,IGCX,IGNM,ITAG,SMLL;
DIRECIONAL;ON   NM;DIRR3;IBRA,IBXX,ICON,IDIV,IGCT,IGCX,IGNM,IMOB,INDX,ITAG,SMLL;
ECOPETROL SA;DRN;E1CO34;BDRX;
ECORODOVIAS;ON   NM;ECOR3;IBRA,IBXX,ICO2,IGCT,IGCX,IGNM,ISEE,ITAG,SMLL;
ELETROBRAS;ON   N1;ELET3;IBOV,IBRA,IBXL,IBXX,ICO2,IEEX,IGCT,IGCX,ISEE,MLCX,UTIL;
ELETROBRAS;PNB  N1;ELET6;IBOV,IBRA,IBXL,IBXX,ICO2,IGCT,IGCX,MLCX,UTIL;
ELETROMIDIA;ON   NM;ELMD3;IGCX,IGNM,ITAG;
EMBRAER;ON   NM;EMBR3;IBOV,IBRA,IBXL,IBXX,ICO2,IGCT,IGCX,IGNM,INDX,ITAG,IVBX,SMLL;
ENAUTA PART;ON   NM;ENAT3;IBRA,IDIV,IGCT,IGCX,IGNM,ITAG,SMLL;
ENERGIAS BR;ON   NM;ENBR3;IBOV,IBRA,IBXX,ICO2,IDIV,IEEX,IGCT,IGCX,IGNM,ISEE,ITAG,SMLL,UTIL;
ENERGISA;UNT  N2;ENGI11;GPTW,IBOV,IBRA,IBXX,ICO2,IEEX,IGCT,IGCX,ITAG,IVBX,MLCX,UTIL;
ENEVA;ON   NM;ENEV3;IBOV,IBRA,IBXL,IBXX,ICO2,IEEX,IGCT,IGCX,IGNM,ISEE,ITAG,IVBX,MLCX,UTIL;
ENGIE BRASIL;ON   NM;EGIE3;IBOV,IBRA,IBXX,ICO2,IDIV,IEEX,IGCT,IGCX,IGNM,ISEE,ITAG,MLCX,UTIL;
EQUATORIAL;ON   NM;EQTL3;GPTW,IBOV,IBRA,IBXL,IBXX,IEEX,IGCT,IGCX,IGNM,ITAG,IVBX,MLCX,UTIL;
EQUINIX INC;DRN;EQIX34;BDRX;
ESPACOLASER;ON   NM;ESPA3;IBRA,ICON,IGCT,IGCX,IGNM,ITAG,SMLL;
ESTAPAR;ON   NM;ALPK3;IGCX,IGNM,ITAG;
ESTEE LAUDER;DRN;ELCI34;BDRX;
EUCATEX;ON   N1;EUCA3;IGCX;
EUCATEX;PN   N1;EUCA4;IGCX;
EVEN;ON   NM;EVEN3;IBRA,ICON,IGCT,IGCX,IGNM,IMOB,ITAG,SMLL;
EXXON MOBIL;DRN;EXXO34;BDRX;
EZTEC;ON   NM;EZTC3;IBOV,IBRA,IBXX,ICO2,ICON,IGCT,IGCX,IGNM,IMOB,INDX,ITAG,SMLL;
FER HERINGER;ON   NM;FHER3;AGFS,IBRA,IGCT,IGCX,IGNM,IMAT,ITAG,SMLL;
FERBASA;PN   N1;FESA4;IBRA,IDIV,IGCT,IGCX,IMAT,SMLL;
FII ABSOLUTO;CI;BPFF11;IFIX;
FII AFHI CRI;CI;AFHI11;IFIX;
FII ALIANZA;CI;ALZR11;IFIL,IFIX;
FII ARCTIUM;CI;RZAT11;IFIL,IFIX;
FII ATRIO;CI;ARRI11;IFIX;
FII AUTONOMY;CI;AIEC11;IFIX;
FII BARIGUI;CI;BARI11;IFIX;
FII BB PRGII;CI;BBPO11;IFIL,IFIX;
FII BC FFII;CI;BCFF11;IFIL,IFIX;
FII BC FUND;CI;BRCR11;IFIL,IFIX;
FII BCIA;CI;BCIA11;IFIX;
FII BEES CRI;CI;BCRI11;IFIX;
FII BLUE FOF;CI;BLMR11;IFIX;
FII BLUE LOG;CI;BLMG11;IFIX;
FII BRESCO;CI;BRCO11;IFIL,IFIX;
FII BTG AGRO;CI;BTAL11;IFIL,IFIX;
FII BTG CRI;CI;BTCI11;IFIL,IFIX;
FII BTG TAGR;CI;BTRA11;IFIX;
FII BTLG;CI;BTLG11;IFIL,IFIX;
FII CAP REIT;CI;CPFF11;IFIX;
FII CAPI SEC;CI;CPTS11;IFIL,IFIX;
FII CSHG CRI;CI;HGCR11;IFIL,IFIX;
FII CSHG FOF;CI;HGFF11;IFIX;
FII CSHG LOG;CI;HGLG11;IFIL,IFIX;
FII CSHG URB;CI;HGRU11;IFIL,IFIX;
FII CYRELA;CI;CYCR11;IFIX;
FII DEA CARE;CI;CARE11;IFIX;
FII DEVANT;CI;DEVA11;IFIL,IFIX;
